year,bill_no,bill_sponsor,party,committee,witness_against,witness_against_org,law
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",none,none,yes
2013,57,Gary Romine,R,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,329,Dan Brown,R,"Agriculture, Food Production and Outdoor Resources",none,none,yes
2013,342,Mike Parson,R,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,371,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,373,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,228,Jason Holsman,D,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Vickie Harvey,Missouri Primate Owners,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Vickie Harvey,America's Animal Owners,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Aya Katz,self,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Suzanne Windsor,America's Animal Owners,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Karen Strange,Missouri Federation of Animal Owners,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Brandie Caldwell,America's Animal Owners,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Connie Casey,REXANO,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Connie Casey,UAPPEAL,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Connie Casey,American Animal Association,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Connie Casey,Simian Society of America,no
2013,349,Paul LeVota,D,Appropriations,Jim Lembke,United for Missouri,no
2013,350,Tom Dempsey,R,Appropriations,Amy Blouin,Missouri Budget Project,no
2013,350,Tom Dempsey,R,Appropriations,Catherine Edwards,Missouri Association of Area Agencies on Aging,no
2013,350,Tom Dempsey,R,Appropriations,Ed Bothe,self,no
2013,350,Tom Dempsey,R,Appropriations,Charlotte Wibberg,self,no
2013,350,Tom Dempsey,R,Appropriations,Michael Schell,Adapt of Missouri,no
2013,350,Tom Dempsey,R,Appropriations,Shawn D'Abreu,Missouri Centers for Independent Living,no
2013,350,Tom Dempsey,R,Appropriations,Fredericka Lainoff,Silver Haired Legislator,no
2013,350,Tom Dempsey,R,Appropriations,Judith Parker,Missouri Alliance for Retired Americans,no
2013,350,Tom Dempsey,R,Appropriations,Jeanette Mott Oxford,Missouri Association for Social Welfare,no
2013,350,Tom Dempsey,R,Appropriations,Carrie Craig,Adapt of Missouri,no
2013,350,Tom Dempsey,R,Appropriations,Cory McMahon,self,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",Marc Wallis,Missouri State Teachers Association,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",Edward Smith,Missouri Coalition for the Environment,no
2013,121,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Steven Carroll,self,yes
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",David Robnak,self,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Kit Brewer,self,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Nelson Heil,Carroll County Commission,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Nelson Heil,North Missouri Solid Waste Management,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Nelson Heil,MAC,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Lynda Roehl,S. Central Solid Waste Management District,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",David Hertzberg,City of Joplin,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Jean Ponzi,"Region L, St. Louis Solid Waste Management District",no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Daniel Cross,self,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Edward Smith,Missouri Coalition for the Environment,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",David Grimes,self,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Jessica Hodge,Missouri Recycling Association,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tye Parsons,NWMO Regional Solid Waste Management District,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tye Parsons,NWMO Regional Council of Governors,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tamara Snodgrass,Ozark Rivers Solid Waste Management District,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tamara Snodgrass,Meramec Regional Planning Commission,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tim Fischesser,St. Louis County Municipal League,no
2013,6,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Fred O'Neill,self,no
2013,6,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Steve Jackson,Missouri Association of Trial Attorneys,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Maurice Brubaker,Missouri Industrial Energy Consumers,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Steven Spinner,Missouri Industrial Energy Consumers,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Kip Smith,Noranda,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Edward Smith,Missouri Coalition for the Environment,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Norma Collins,AARP,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",John Coffman,Consumers Council of Missouri,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Steve Carver,Missouri Retailers Association,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Thomas Schwarz,Missouri Retailers Association,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Lewis Mills,Office of Public Counsel,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",Stuart Murphy,MASW,no
2013,207,Mike Kehoe,R,"Commerce, Consumer Protection, Energy and the Environment",David Durbin,SSM Health Care,no
2013,140,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,102,Will Kraus,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,157,David Sater,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,yes
2013,237,Ed Emery,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,yes
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Michael Brosch,Fair Energy Rate Action Fund,no
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Lewis Mills,Office of Public Counsel,no
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Maurice Brubaker,Missouri Industrial Energy Consumers,no
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",John Coffman,AARP,no
2013,240,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",John Coffman,Consumers Council of Missouri,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Scott Swain,Verizon,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Dan Ross,Missouri Municipal League,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Todd Smith,Missouri Association of Counties,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Ewell Lawson,Missouri Association of Municipal Utilities,no
2013,241,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Harry Hill,Missouri Rural Water Association,no
2013,294,Eric Schmitt,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,275,Gina Walsh,D,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,299,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Ron Kinney,Kinney Amusement and Vending,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Ron Kinney,Missouri Amusement Machines Association,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Thomas Cobb,self,no
2013,328,Dan Brown,R,"Commerce, Consumer Protection, Energy and the Environment",Emily Carroll,Missouri Amusement Machine Operators Association,no
2013,357,Gary Romine,R,"Commerce, Consumer Protection, Energy and the Environment",Jim Durham,Missouri Land Title Association,yes
2013,297,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",John Coffman,Consumers Council of Missouri,no
2013,361,Scott Rupp,R,"Commerce, Consumer Protection, Energy and the Environment",none,none,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Jorgen Schlemeier,self,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",David Klarich,Southern Glazers Wine & Spirits,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Zachery Brunnert,Diageo,no
2013,365,Mike Parson,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Missouri Retailers Association,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Ewell Lawson,Missouri Association of Municipal Utilities,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Mike Palmer,Empire District Electric,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",Edward Downey,Missouri Industrial Energy Consumers,no
2013,396,Jason Holsman,D,"Commerce, Consumer Protection, Energy and the Environment",David Klindt,Association of Missouri Electric Cooperatives,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Ewell Lawson,Missouri Association of Municipal Utilities,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",Edward Downey,Missouri Industrial Energy Consumers,no
2013,420,Brad Lager,R,"Commerce, Consumer Protection, Energy and the Environment",David Klindt,Association of Missouri Electric Cooperatives,no
2013,416,Bob Dixon,R,"Commerce, Consumer Protection, Energy and the Environment",Lynne Schlosser,Missouri Professional Land Surveyors,no
2013,416,Bob Dixon,R,"Commerce, Consumer Protection, Energy and the Environment",Steve Rudloff,Missouri Limestone Producers Association,no
2013,416,Bob Dixon,R,"Commerce, Consumer Protection, Energy and the Environment",Jessica Hodge,Missouri Recycling Association,no
2013,416,Bob Dixon,R,"Commerce, Consumer Protection, Energy and the Environment",Jim Farrell,Jefferson County Solid Waste Management,no
2013,416,Bob Dixon,R,"Commerce, Consumer Protection, Energy and the Environment",Don Steen,Missouri Farm Bureau,no
