year,bill_no,bill_sponsor,party,committee,witness_for,witness_for_org,law
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Leslie Holloway,Missouri Farm Bureau,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Steve Taylor,Missouri Agribusiness Association,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Larry Davis,self,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Kristian Starner,Missouri Pork Association,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Barb York,Missouri Pet Breeders Association,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Bruce Hillis,self,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Karen Strange,Missouri Federation of Animal Owners,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Abram Messer,Missouri Family Network,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Jeff Klusmeier,Missouri Attorney General's Office,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Shane Kinne,Missouri Corn Growers Association,yes
2013,16,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Darla Eggers,Missouri Cattlemen's Association,yes
2013,57,Gary Romine,R,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,329,Dan Brown,R,"Agriculture, Food Production and Outdoor Resources",Zach Pollock,Missouri Department of Agriculture,yes
2013,342,Mike Parson,R,"Agriculture, Food Production and Outdoor Resources",Bill Ratliff,Missouri Bankers Association,no
2013,342,Mike Parson,R,"Agriculture, Food Production and Outdoor Resources",Harry Gallagher,FCS Financial Services,no
2013,342,Mike Parson,R,"Agriculture, Food Production and Outdoor Resources",Dave Drennan,Missouri Dairy Association,no
2013,342,Mike Parson,R,"Agriculture, Food Production and Outdoor Resources",Tony Stafford,Missouri Department of Agriculture,no
2013,342,Mike Parson,R,"Agriculture, Food Production and Outdoor Resources",Leslie Holloway,Missouri Farm Bureau,no
2013,371,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",none,none,no
2013,373,Brian Munzlinger,R,"Agriculture, Food Production and Outdoor Resources",Zach Pollock,Missouri Department of Agriculture,no
2013,228,Jason Holsman,D,"Agriculture, Food Production and Outdoor Resources",Daryl Duwe,Composting and Organics Association of Missouri,no
2013,228,Jason Holsman,D,"Agriculture, Food Production and Outdoor Resources",Adam Saunders,Columbia Center for Urban Agriculture,no
2013,228,Jason Holsman,D,"Agriculture, Food Production and Outdoor Resources",Lynne Schlosser,Missouri Environmental Defense Alliance,no
2013,228,Jason Holsman,D,"Agriculture, Food Production and Outdoor Resources",Ginger Steinmetz,Missouri Conservation and Environmental Alliance,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Laura Umphenoor,self,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Robert Eric Miller,St. Louis Zoo,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Kelvin Simmons,Kansas City Zoo,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",Bob Baker,Missouri Alliance for Animal Legislation,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",J.B. Anderson,Feline Conservation Federation,no
2013,149,Joseph Keaveny,D,"Agriculture, Food Production and Outdoor Resources",J.B. Anderson,Jag Cat Sanctuary,no
2013,349,Paul LeVota,D,Appropriations,Tim Van Zandt,Saint Luke's Health System,no
2013,349,Paul LeVota,D,Appropriations,Kerry Noble,Pemiscot County Memorial Hospital,no
2013,349,Paul LeVota,D,Appropriations,Brendan Cossette,Missouri Chamber of Commerce and Industry,no
2013,349,Paul LeVota,D,Appropriations,Joh Orear,National Alliance on Mental Illness,no
2013,349,Paul LeVota,D,Appropriations,Keith Schafer,Missouri Department of Mental Health,no
2013,349,Paul LeVota,D,Appropriations,Misty Snodgrass,American Cancer Society,no
2013,349,Paul LeVota,D,Appropriations,Ed Weisbart,Missouri Academy of Family Physicians,no
2013,349,Paul LeVota,D,Appropriations,Mark Krasnoff,self,no
2013,349,Paul LeVota,D,Appropriations,Joseph Pierle,Missouri Primary Care Association,no
2013,349,Paul LeVota,D,Appropriations,Joseph Pierle,Coalition for Health Economic Growth,no
2013,349,Paul LeVota,D,Appropriations,Linda Luebbering,Office of Administration,no
2013,349,Paul LeVota,D,Appropriations,Doyle Sager,Missouri Faith Voices,no
2013,349,Paul LeVota,D,Appropriations,Wayne Lee,Epilepsy Foundation of Missouri and Kansas,no
2013,349,Paul LeVota,D,Appropriations,Erin Brower,Partnership for Children,no
2013,349,Paul LeVota,D,Appropriations,Ray McCarty,Associated Industries of Missouri,no
2013,349,Paul LeVota,D,Appropriations,Cynthia Keele,National Alliance on Mental Illness,no
2013,349,Paul LeVota,D,Appropriations,Sarah Gentry,National Multiple Sclerosis Society,no
2013,349,Paul LeVota,D,Appropriations,James Shortal,self,no
2013,349,Paul LeVota,D,Appropriations,Nikki Strong,Missouri Health care Association,no
2013,349,Paul LeVota,D,Appropriations,Kenny Jackson,Missouri State Medical Association,no
2013,349,Paul LeVota,D,Appropriations,Ruby Cook,self,no
2013,349,Paul LeVota,D,Appropriations,Kyna Iman,Missouri Nurses Association,no
2013,349,Paul LeVota,D,Appropriations,Jim Moody,Missouri Coalition for Community Behavioral Healthcare,no
2013,349,Paul LeVota,D,Appropriations,Jim Moody,University of Missouri Healthcare,no
2013,349,Paul LeVota,D,Appropriations,Jim Moody,Truman Medical Centers,no
2013,349,Paul LeVota,D,Appropriations,Jim Moody,Civic Council of Greater Kansas City,no
2013,349,Paul LeVota,D,Appropriations,Jim Moody,Aetna,no
2013,349,Paul LeVota,D,Appropriations,Tricia Workman,St. Louis Regional Chamber,no
2013,349,Paul LeVota,D,Appropriations,Jessica Land,Greater Kansas City Chamber of Commerce,no
2013,349,Paul LeVota,D,Appropriations,Jason White,Missouri Ambulance Association,no
2013,349,Paul LeVota,D,Appropriations,Jason White,Missouri Emergency Medical Services Association,no
2013,349,Paul LeVota,D,Appropriations,Jason White,Ambulance District Association of Missouri,no
2013,349,Paul LeVota,D,Appropriations,Andrea Routh,The Missouri Health Advocacy Alliance,no
2013,349,Paul LeVota,D,Appropriations,Trina Ragain,March of Dimes,no
2013,349,Paul LeVota,D,Appropriations,Susan Cook,Missouri Association for Social Welfare,no
2013,349,Paul LeVota,D,Appropriations,Jorgen Schlemeier,Missouri Pharmacy Association,no
2013,349,Paul LeVota,D,Appropriations,Daniel Langdon,Missouri Hospital Association,no
2013,350,Tom Dempsey,R,Appropriations,Linda Luebbering,Office of Administration,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Associated Industries of Missouri,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",Tracy King,Missouri Chamber of Commerce and Industry,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",Brent Hemphill,Missouri Pork Association,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",John Bryan,Missouri Poultry Federation,no
2013,41,Brian Munzlinger,R,"Commerce, Consumer Protection, Energy and the Environment",Derrick Stanley,WCA,no
2013,121,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Mary Strate,Wholesalers Association,yes
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Environmental Industry Association,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,National Solid Waste Management,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Dave Overfelt,Associated Industries of Missouri,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tom Rackers,WCA,no
2013,13,Kurt Schaefer,R,"Commerce, Consumer Protection, Energy and the Environment",Tom Rackers,Environmental Federation of Missouri,no
